ID,Page,Total,Unique
C6RH12,Example 1,1000,500
X6YO12,Example 2,661,312
L12K34,Example 3,566,222
P12O94,Example 4,1213,444
XX1245,Example 5,5512,3121
0129XQ,Example 6,5123,4123
W3TY81,Example 7,512,222
X1JS4A,Example 8,4444,1123
C18FA8,Example 9,6121,4121
P390XA,Example 10,5121,3121
AX938A,Example 11,663,412
KKRI31,Example 12,7722,3333
XX2415,Example 13,221,121
P1OT8A,Example 14,789,312
OAIGO3,Example 15,3315,2213
O39G8A,Example 16,1555,312
XLAOGP3,Example 17,6613,3123
P5IAUF,Example 18,994,331
KKGKAU,Example 19,5512,3351
XXP1O4,Example 20,993,335
P68ASI,Example 21,8823,4441
AKAIGU,Example 22,552,71
OHIAUG,Example 23,333,224
XXKAIT,Example 24,5992,4462
PPYOAI,Example 25,4432,3336
9H8A7D,Example 26,3126,2231
KKXJAUG,Example 27,512,331
99A99A,Example 28,6613,3335
KAJRUA,Example 29,835,312
PP7PAO,Example 30,5512,773
IIHUAI,Example 31,323,44
88G7AU,Example 32,2251,512
PAOSPA,Example 33,883,443
